case,hidden_layer_1,hidden_layer_2,hidden_layer_3,scope,iterations,final_loss_scaled_target,MAE,MSE,RMSE,R2,rank_by_rmse
4,15,3,1,overall,1339,0.008639580971742142,1060.2846267520702,3223433.8162460965,1795.392385036234,0.9319170807022538,1
4,15,3,1,plant_1,1339,0.008639580971742142,681.0134022290819,1051591.236629424,1025.4712266218999,0.9832100651546027,1
4,15,3,1,plant_2,1339,0.008639580971742142,1438.3761585082682,5388521.053468939,2321.3188177130987,0.8239447612451384,1
2,15,1,3,overall,905,0.009125018916135002,989.7536058137255,4109221.0676447824,2027.1213746701953,0.9132081555653385,2
2,15,1,3,plant_1,905,0.009125018916135002,690.5866185989211,1387058.325494501,1177.734403630335,0.9778539245092385,2
2,15,1,3,plant_2,905,0.009125018916135002,1287.9900580760734,6822916.740612635,2612.071350597574,0.7770797916805385,2
5,15,3,3,overall,1012,0.005669425116523313,895.2951821582928,4219339.745517805,2054.1031487045157,0.9108823125401094,3
5,15,3,3,plant_1,1012,0.005669425116523313,312.6997232296548,319748.04570408625,565.4626828572211,0.9948948330232172,3
5,15,3,3,plant_2,1012,0.005669425116523313,1476.078524573934,8106802.0776804695,2847.244646615473,0.7351323375816388,3
6,15,3,6,overall,902,0.006048690498836346,995.5825524462301,4283635.048750916,2069.6944336666984,0.9095243160088383,4
6,15,3,6,plant_1,902,0.006048690498836346,455.9344914780569,597025.9890288787,772.6745686437977,0.9904677529560508,4
6,15,3,6,plant_2,902,0.006048690498836346,1533.5520813429628,7958777.206265422,2821.1304837361604,0.7399686468063855,4
3,15,1,6,overall,1075,0.007172710679531681,1200.3575009013903,5344435.987198445,2311.803622109466,0.8871188847822701,5
3,15,1,6,plant_1,1075,0.007172710679531681,616.3149556497993,1032205.1693560751,1015.9749846113708,0.9835195873292752,5
3,15,1,6,plant_2,1075,0.007172710679531681,1782.5834285938781,9643253.956462765,3105.3589094439253,0.6849329601141916,5
1,15,1,1,overall,843,0.008920138409354681,1829.0765257892851,8080075.683983419,2842.547393445432,0.8293387821584093,6
1,15,1,1,plant_1,843,0.008920138409354681,1468.8363853447934,4667468.148231768,2160.432398440592,0.9254781864168442,6
1,15,1,1,plant_2,843,0.008920138409354681,2188.1961681297507,11482068.577322157,3388.5201161159066,0.6248547041532313,6
9,15,6,6,overall,1009,0.005541579145374666,1235.8314382391525,8696365.303537693,2948.960037629824,0.816321981186514,7
9,15,6,6,plant_1,1009,0.005541579145374666,349.6880519474108,416347.0688433838,645.2496174686071,0.9933525119690438,7
9,15,6,6,plant_2,1009,0.005541579145374666,2119.218546501993,16950629.204687074,4117.1141840720275,0.4461843904729368,7
8,15,6,3,overall,951,0.006186030946871732,1800.5304696439923,15479978.523113137,3934.460385251469,0.6730436582230437,8
8,15,6,3,plant_1,951,0.006186030946871732,592.3439273538003,1302243.8288352613,1141.1589849075638,0.979208091245563,8
8,15,6,3,plant_2,951,0.006186030946871732,3004.959044462053,29613614.5091662,5441.83925793166,0.0324558592103229,8
7,15,6,1,overall,1111,0.005497765697685923,1805.8661259487785,24219938.2568824,4921.375646796574,0.4884448709854231,9
7,15,6,1,plant_1,1111,0.005497765697685923,558.2566010978792,941689.1380919359,970.4066869575538,0.9849647860095723,9
7,15,6,1,plant_2,1111,0.005497765697685923,3049.5950612978086,47425782.24622094,6886.637949407602,-0.5495081736981164,9
